age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_dmt2,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
76,male,2.636661533126396e-4,0.016180216543765075,0.2595075242647756,0.016488058644981304,3332,Dmt2,0,50,75,13,1,5,male_Dmt2
77,male,2.636661533126396e-4,0.016180216543765075,0.2595075242647756,0.016488058644981304,3332,Dmt2,0,50,75,13,1,5,male_Dmt2
78,male,2.636661533126396e-4,0.016180216543765075,0.2595075242647756,0.016488058644981304,3332,Dmt2,0,50,75,13,1,5,male_Dmt2
79,male,2.636661533126396e-4,0.016180216543765075,0.2595075242647756,0.016488058644981304,3332,Dmt2,0,50,75,13,1,5,male_Dmt2
80,male,5.248339010149964e-4,0.013719271697928389,0.3323368969422895,0.021098160174101314,2291,Dmt2,0,20,80,7,1,5,male_Dmt2
81,male,5.248339010149964e-4,0.013719271697928389,0.3323368969422895,0.021098160174101314,2291,Dmt2,0,20,80,7,1,5,male_Dmt2
82,male,5.248339010149964e-4,0.013719271697928389,0.3323368969422895,0.021098160174101314,2291,Dmt2,0,20,80,7,1,5,male_Dmt2
83,male,5.248339010149964e-4,0.013719271697928389,0.3323368969422895,0.021098160174101314,2291,Dmt2,0,20,80,7,1,5,male_Dmt2
84,male,5.248339010149964e-4,0.013719271697928389,0.3323368969422895,0.021098160174101314,2291,Dmt2,0,20,80,7,1,5,male_Dmt2
85,male,0.0010723333151387833,0.004728274919365857,0.368530954416665,0.02323622262958162,1276,Dmt2,0,20,85,7,1,5,male_Dmt2
86,male,0.0010723333151387833,0.004728274919365857,0.368530954416665,0.02323622262958162,1276,Dmt2,0,20,85,7,1,5,male_Dmt2
87,male,0.0010723333151387833,0.004728274919365857,0.368530954416665,0.02323622262958162,1276,Dmt2,0,20,85,7,1,5,male_Dmt2
88,male,0.0010723333151387833,0.004728274919365857,0.368530954416665,0.02323622262958162,1276,Dmt2,0,20,85,7,1,5,male_Dmt2
89,male,0.0010723333151387833,0.004728274919365857,0.368530954416665,0.02323622262958162,1276,Dmt2,0,20,85,7,1,5,male_Dmt2
90,male,0.001700808842913162,5.062524620148551e-4,0.3676831305520972,0.023111805262536773,506,Dmt2,0,10,90,4,1,5,male_Dmt2
91,male,0.001700808842913162,5.062524620148551e-4,0.3676831305520972,0.023111805262536773,506,Dmt2,0,10,90,4,1,5,male_Dmt2
92,male,0.001700808842913162,5.062524620148551e-4,0.3676831305520972,0.023111805262536773,506,Dmt2,0,10,90,4,1,5,male_Dmt2
93,male,0.001700808842913162,5.062524620148551e-4,0.3676831305520972,0.023111805262536773,506,Dmt2,0,10,90,4,1,5,male_Dmt2
94,male,0.001700808842913162,5.062524620148551e-4,0.3676831305520972,0.023111805262536773,506,Dmt2,0,10,90,4,1,5,male_Dmt2
95,male,0.002801123953953642,2.8238859993044355e-4,0.35532092151030864,0.022471082910474033,91,Dmt2,0,10,95,4,0,6,male_Dmt2
96,male,0.002801123953953642,2.8238859993044355e-4,0.35532092151030864,0.022471082910474033,91,Dmt2,0,10,95,4,0,6,male_Dmt2
97,male,0.002801123953953642,2.8238859993044355e-4,0.35532092151030864,0.022471082910474033,91,Dmt2,0,10,95,4,0,6,male_Dmt2
98,male,0.002801123953953642,2.8238859993044355e-4,0.35532092151030864,0.022471082910474033,91,Dmt2,0,10,95,4,0,6,male_Dmt2
99,male,0.002801123953953642,2.8238859993044355e-4,0.35532092151030864,0.022471082910474033,91,Dmt2,0,10,95,4,0,6,male_Dmt2
100,male,0.002801123953953642,2.8238859993044355e-4,0.35532092151030864,0.022471082910474033,91,Dmt2,0,10,95,4,0,6,male_Dmt2
