age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_strk,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
42,female,3.592021618675255e-5,5.294149486987642e-4,0.005916113671837798,7.92205498057891e-4,6901,Strk,0,50,40,0,0,5,female_Strk
43,female,3.592021618675255e-5,5.294149486987642e-4,0.005916113671837798,7.92205498057891e-4,6901,Strk,0,50,40,0,0,5,female_Strk
44,female,3.592021618675255e-5,5.294149486987642e-4,0.005916113671837798,7.92205498057891e-4,6901,Strk,0,50,40,0,0,5,female_Strk
45,female,6.150490134027032e-5,7.809675423032878e-4,0.008958366402129225,0.0011690274701156517,7531,Strk,0,50,45,0,0,5,female_Strk
46,female,6.150490134027032e-5,7.809675423032878e-4,0.008958366402129225,0.0011690274701156517,7531,Strk,0,50,45,0,0,5,female_Strk
47,female,6.150490134027032e-5,7.809675423032878e-4,0.008958366402129225,0.0011690274701156517,7531,Strk,0,50,45,0,0,5,female_Strk
48,female,6.150490134027032e-5,7.809675423032878e-4,0.008958366402129225,0.0011690274701156517,7531,Strk,0,50,45,0,0,5,female_Strk
49,female,6.150490134027032e-5,7.809675423032878e-4,0.008958366402129225,0.0011690274701156517,7531,Strk,0,50,45,0,0,5,female_Strk
50,female,9.273409588440161e-5,0.001093140511205461,0.013298875425924589,0.0017237971450549255,7629,Strk,0,50,50,1,1,5,female_Strk
51,female,9.273409588440161e-5,0.001093140511205461,0.013298875425924589,0.0017237971450549255,7629,Strk,0,50,50,1,1,5,female_Strk
52,female,9.273409588440161e-5,0.001093140511205461,0.013298875425924589,0.0017237971450549255,7629,Strk,0,50,50,1,1,5,female_Strk
53,female,9.273409588440161e-5,0.001093140511205461,0.013298875425924589,0.0017237971450549255,7629,Strk,0,50,50,1,1,5,female_Strk
54,female,9.273409588440161e-5,0.001093140511205461,0.013298875425924589,0.0017237971450549255,7629,Strk,0,50,50,1,1,5,female_Strk
55,female,1.3733451508295732e-4,0.0014662102268464376,0.018756846000237155,0.0025283083553153357,6580,Strk,0,50,55,1,1,5,female_Strk
56,female,1.3733451508295732e-4,0.0014662102268464376,0.018756846000237155,0.0025283083553153357,6580,Strk,0,50,55,1,1,5,female_Strk
57,female,1.3733451508295732e-4,0.0014662102268464376,0.018756846000237155,0.0025283083553153357,6580,Strk,0,50,55,1,1,5,female_Strk
58,female,1.3733451508295732e-4,0.0014662102268464376,0.018756846000237155,0.0025283083553153357,6580,Strk,0,50,55,1,1,5,female_Strk
59,female,1.3733451508295732e-4,0.0014662102268464376,0.018756846000237155,0.0025283083553153357,6580,Strk,0,50,55,1,1,5,female_Strk
60,female,2.3689677564632107e-4,0.0020501486517015334,0.025293373035828754,0.003513501515326959,5725,Strk,0,50,60,1,1,5,female_Strk
61,female,2.3689677564632107e-4,0.0020501486517015334,0.025293373035828754,0.003513501515326959,5725,Strk,0,50,60,1,1,5,female_Strk
62,female,2.3689677564632107e-4,0.0020501486517015334,0.025293373035828754,0.003513501515326959,5725,Strk,0,50,60,1,1,5,female_Strk
63,female,2.3689677564632107e-4,0.0020501486517015334,0.025293373035828754,0.003513501515326959,5725,Strk,0,50,60,1,1,5,female_Strk
64,female,2.3689677564632107e-4,0.0020501486517015334,0.025293373035828754,0.003513501515326959,5725,Strk,0,50,60,1,1,5,female_Strk
65,female,4.3265517221902224e-4,0.002845786947567734,0.03258334545101843,0.004641940472639086,5670,Strk,0,50,65,2,2,5,female_Strk
66,female,4.3265517221902224e-4,0.002845786947567734,0.03258334545101843,0.004641940472639086,5670,Strk,0,50,65,2,2,5,female_Strk
67,female,4.3265517221902224e-4,0.002845786947567734,0.03258334545101843,0.004641940472639086,5670,Strk,0,50,65,2,2,5,female_Strk
68,female,4.3265517221902224e-4,0.002845786947567734,0.03258334545101843,0.004641940472639086,5670,Strk,0,50,65,2,2,5,female_Strk
69,female,4.3265517221902224e-4,0.002845786947567734,0.03258334545101843,0.004641940472639086,5670,Strk,0,50,65,2,2,5,female_Strk
70,female,9.130609143319259e-4,0.00386664391040608,0.04116499915720582,0.006430749150486607,5104,Strk,0,50,70,2,5,5,female_Strk
71,female,9.130609143319259e-4,0.00386664391040608,0.04116499915720582,0.006430749150486607,5104,Strk,0,50,70,2,5,5,female_Strk
72,female,9.130609143319259e-4,0.00386664391040608,0.04116499915720582,0.006430749150486607,5104,Strk,0,50,70,2,5,5,female_Strk
73,female,9.130609143319259e-4,0.00386664391040608,0.04116499915720582,0.006430749150486607,5104,Strk,0,50,70,2,5,5,female_Strk
74,female,9.130609143319259e-4,0.00386664391040608,0.04116499915720582,0.006430749150486607,5104,Strk,0,50,70,2,5,5,female_Strk
75,female,0.002135394347082749,0.0051081687858594285,0.05215223174304537,0.009104727562543586,3792,Strk,0,50,75,3,8,5,female_Strk
76,female,0.002135394347082749,0.0051081687858594285,0.05215223174304537,0.009104727562543586,3792,Strk,0,50,75,3,8,5,female_Strk
77,female,0.002135394347082749,0.0051081687858594285,0.05215223174304537,0.009104727562543586,3792,Strk,0,50,75,3,8,5,female_Strk
78,female,0.002135394347082749,0.0051081687858594285,0.05215223174304537,0.009104727562543586,3792,Strk,0,50,75,3,8,5,female_Strk
79,female,0.002135394347082749,0.0051081687858594285,0.05215223174304537,0.009104727562543586,3792,Strk,0,50,75,3,8,5,female_Strk
80,female,0.005060666478956677,0.008372462551279441,0.06677311593522411,0.0126280155186714,2983,Strk,0,20,80,1,15,5,female_Strk
81,female,0.005060666478956677,0.008372462551279441,0.06677311593522411,0.0126280155186714,2983,Strk,0,20,80,1,15,5,female_Strk
82,female,0.005060666478956677,0.008372462551279441,0.06677311593522411,0.0126280155186714,2983,Strk,0,20,80,1,15,5,female_Strk
83,female,0.005060666478956677,0.008372462551279441,0.06677311593522411,0.0126280155186714,2983,Strk,0,20,80,1,15,5,female_Strk
84,female,0.005060666478956677,0.008372462551279441,0.06677311593522411,0.0126280155186714,2983,Strk,0,20,80,1,15,5,female_Strk
85,female,0.011949313559382049,0.013661947529151274,0.08547852467282627,0.017225952733976656,2001,Strk,0,20,85,2,24,5,female_Strk
86,female,0.011949313559382049,0.013661947529151274,0.08547852467282627,0.017225952733976656,2001,Strk,0,20,85,2,24,5,female_Strk
87,female,0.011949313559382049,0.013661947529151274,0.08547852467282627,0.017225952733976656,2001,Strk,0,20,85,2,24,5,female_Strk
88,female,0.011949313559382049,0.013661947529151274,0.08547852467282627,0.017225952733976656,2001,Strk,0,20,85,2,24,5,female_Strk
89,female,0.011949313559382049,0.013661947529151274,0.08547852467282627,0.017225952733976656,2001,Strk,0,20,85,2,24,5,female_Strk
90,female,0.020735949665261936,0.018947394340740914,0.10151154287872104,0.021359509120620675,1019,Strk,0,10,90,1,21,5,female_Strk
91,female,0.020735949665261936,0.018947394340740914,0.10151154287872104,0.021359509120620675,1019,Strk,0,10,90,1,21,5,female_Strk
92,female,0.020735949665261936,0.018947394340740914,0.10151154287872104,0.021359509120620675,1019,Strk,0,10,90,1,21,5,female_Strk
93,female,0.020735949665261936,0.018947394340740914,0.10151154287872104,0.021359509120620675,1019,Strk,0,10,90,1,21,5,female_Strk
94,female,0.020735949665261936,0.018947394340740914,0.10151154287872104,0.021359509120620675,1019,Strk,0,10,90,1,21,5,female_Strk
95,female,0.03888062113149651,0.024221260137134347,0.11237829508457649,0.024884396454085616,275,Strk,0,10,95,1,10,6,female_Strk
96,female,0.03888062113149651,0.024221260137134347,0.11237829508457649,0.024884396454085616,275,Strk,0,10,95,1,10,6,female_Strk
97,female,0.03888062113149651,0.024221260137134347,0.11237829508457649,0.024884396454085616,275,Strk,0,10,95,1,10,6,female_Strk
98,female,0.03888062113149651,0.024221260137134347,0.11237829508457649,0.024884396454085616,275,Strk,0,10,95,1,10,6,female_Strk
99,female,0.03888062113149651,0.024221260137134347,0.11237829508457649,0.024884396454085616,275,Strk,0,10,95,1,10,6,female_Strk
100,female,0.03888062113149651,0.024221260137134347,0.11237829508457649,0.024884396454085616,275,Strk,0,10,95,1,10,6,female_Strk
