age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_lvrc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
18,female,1.0481770255208246e-6,4.635833384634228e-6,0,1.0017238516187905e-6,6338,Lvrc,0,50,15,0,0,5,female_Lvrc
19,female,1.0481770255208246e-6,4.635833384634228e-6,0,1.0017238516187905e-6,6338,Lvrc,0,50,15,0,0,5,female_Lvrc
20,female,8.633837707522881e-7,4.249226006806929e-6,0,9.107273766146729e-7,7828,Lvrc,0,50,20,0,0,5,female_Lvrc
21,female,8.633837707522881e-7,4.249226006806929e-6,0,9.107273766146729e-7,7828,Lvrc,0,50,20,0,0,5,female_Lvrc
22,female,8.633837707522881e-7,4.249226006806929e-6,0,9.107273766146729e-7,7828,Lvrc,0,50,20,0,0,5,female_Lvrc
23,female,8.633837707522881e-7,4.249226006806929e-6,0,9.107273766146729e-7,7828,Lvrc,0,50,20,0,0,5,female_Lvrc
24,female,8.633837707522881e-7,4.249226006806929e-6,0,9.107273766146729e-7,7828,Lvrc,0,50,20,0,0,5,female_Lvrc
25,female,1.3849062155150272e-6,4.0880174370748296e-6,0,1.124326168830143e-6,8833,Lvrc,0,50,25,0,0,5,female_Lvrc
26,female,1.3849062155150272e-6,4.0880174370748296e-6,0,1.124326168830143e-6,8833,Lvrc,0,50,25,0,0,5,female_Lvrc
27,female,1.3849062155150272e-6,4.0880174370748296e-6,0,1.124326168830143e-6,8833,Lvrc,0,50,25,0,0,5,female_Lvrc
28,female,1.3849062155150272e-6,4.0880174370748296e-6,0,1.124326168830143e-6,8833,Lvrc,0,50,25,0,0,5,female_Lvrc
29,female,1.3849062155150272e-6,4.0880174370748296e-6,0,1.124326168830143e-6,8833,Lvrc,0,50,25,0,0,5,female_Lvrc
30,female,1.755816988488791e-6,5.5839373233503e-6,0,1.5886230600402397e-6,7963,Lvrc,0,50,30,0,0,5,female_Lvrc
31,female,1.755816988488791e-6,5.5839373233503e-6,0,1.5886230600402397e-6,7963,Lvrc,0,50,30,0,0,5,female_Lvrc
32,female,1.755816988488791e-6,5.5839373233503e-6,0,1.5886230600402397e-6,7963,Lvrc,0,50,30,0,0,5,female_Lvrc
33,female,1.755816988488791e-6,5.5839373233503e-6,0,1.5886230600402397e-6,7963,Lvrc,0,50,30,0,0,5,female_Lvrc
34,female,1.755816988488791e-6,5.5839373233503e-6,0,1.5886230600402397e-6,7963,Lvrc,0,50,30,0,0,5,female_Lvrc
35,female,3.424561083332355e-6,7.944536539008259e-6,0,2.4001736834745793e-6,7482,Lvrc,0,50,35,0,0,5,female_Lvrc
36,female,3.424561083332355e-6,7.944536539008259e-6,0,2.4001736834745793e-6,7482,Lvrc,0,50,35,0,0,5,female_Lvrc
37,female,3.424561083332355e-6,7.944536539008259e-6,0,2.4001736834745793e-6,7482,Lvrc,0,50,35,0,0,5,female_Lvrc
38,female,3.424561083332355e-6,7.944536539008259e-6,0,2.4001736834745793e-6,7482,Lvrc,0,50,35,0,0,5,female_Lvrc
39,female,3.424561083332355e-6,7.944536539008259e-6,0,2.4001736834745793e-6,7482,Lvrc,0,50,35,0,0,5,female_Lvrc
40,female,5.477047845288928e-6,1.1631273140583159e-5,0,3.51612827074022e-6,6901,Lvrc,0,50,40,0,0,5,female_Lvrc
41,female,5.477047845288928e-6,1.1631273140583159e-5,0,3.51612827074022e-6,6901,Lvrc,0,50,40,0,0,5,female_Lvrc
42,female,5.477047845288928e-6,1.1631273140583159e-5,0,3.51612827074022e-6,6901,Lvrc,0,50,40,0,0,5,female_Lvrc
43,female,5.477047845288928e-6,1.1631273140583159e-5,0,3.51612827074022e-6,6901,Lvrc,0,50,40,0,0,5,female_Lvrc
44,female,5.477047845288928e-6,1.1631273140583159e-5,0,3.51612827074022e-6,6901,Lvrc,0,50,40,0,0,5,female_Lvrc
45,female,1.123846134378318e-5,1.8866150110742947e-5,0,5.441386189609684e-6,7531,Lvrc,0,50,45,0,0,5,female_Lvrc
46,female,1.123846134378318e-5,1.8866150110742947e-5,0,5.441386189609684e-6,7531,Lvrc,0,50,45,0,0,5,female_Lvrc
47,female,1.123846134378318e-5,1.8866150110742947e-5,0,5.441386189609684e-6,7531,Lvrc,0,50,45,0,0,5,female_Lvrc
48,female,1.123846134378318e-5,1.8866150110742947e-5,0,5.441386189609684e-6,7531,Lvrc,0,50,45,0,0,5,female_Lvrc
49,female,1.123846134378318e-5,1.8866150110742947e-5,0,5.441386189609684e-6,7531,Lvrc,0,50,45,0,0,5,female_Lvrc
50,female,2.269085656039975e-5,3.6381528515388995e-5,0,1.035676962232757e-5,7629,Lvrc,0,50,50,0,0,5,female_Lvrc
51,female,2.269085656039975e-5,3.6381528515388995e-5,0,1.035676962232757e-5,7629,Lvrc,0,50,50,0,0,5,female_Lvrc
52,female,2.269085656039975e-5,3.6381528515388995e-5,0,1.035676962232757e-5,7629,Lvrc,0,50,50,0,0,5,female_Lvrc
53,female,2.269085656039975e-5,3.6381528515388995e-5,0,1.035676962232757e-5,7629,Lvrc,0,50,50,0,0,5,female_Lvrc
54,female,2.269085656039975e-5,3.6381528515388995e-5,0,1.035676962232757e-5,7629,Lvrc,0,50,50,0,0,5,female_Lvrc
55,female,3.939910036586304e-5,5.761731271898212e-5,0,1.5953214043268167e-5,6580,Lvrc,0,50,55,0,0,5,female_Lvrc
56,female,3.939910036586304e-5,5.761731271898212e-5,0,1.5953214043268167e-5,6580,Lvrc,0,50,55,0,0,5,female_Lvrc
57,female,3.939910036586304e-5,5.761731271898212e-5,0,1.5953214043268167e-5,6580,Lvrc,0,50,55,0,0,5,female_Lvrc
58,female,3.939910036586304e-5,5.761731271898212e-5,0,1.5953214043268167e-5,6580,Lvrc,0,50,55,0,0,5,female_Lvrc
59,female,3.939910036586304e-5,5.761731271898212e-5,0,1.5953214043268167e-5,6580,Lvrc,0,50,55,0,0,5,female_Lvrc
60,female,6.910596327922953e-5,8.659119589226381e-5,0,2.2388363111692224e-5,5725,Lvrc,0,50,60,0,0,5,female_Lvrc
61,female,6.910596327922953e-5,8.659119589226381e-5,0,2.2388363111692224e-5,5725,Lvrc,0,50,60,0,0,5,female_Lvrc
62,female,6.910596327922953e-5,8.659119589226381e-5,0,2.2388363111692224e-5,5725,Lvrc,0,50,60,0,0,5,female_Lvrc
63,female,6.910596327922953e-5,8.659119589226381e-5,0,2.2388363111692224e-5,5725,Lvrc,0,50,60,0,0,5,female_Lvrc
64,female,6.910596327922953e-5,8.659119589226381e-5,0,2.2388363111692224e-5,5725,Lvrc,0,50,60,0,0,5,female_Lvrc
65,female,1.108105008253525e-4,1.3484184519449799e-4,0,3.465653568335866e-5,5670,Lvrc,0,50,65,0,1,5,female_Lvrc
66,female,1.108105008253525e-4,1.3484184519449799e-4,0,3.465653568335866e-5,5670,Lvrc,0,50,65,0,1,5,female_Lvrc
67,female,1.108105008253525e-4,1.3484184519449799e-4,0,3.465653568335866e-5,5670,Lvrc,0,50,65,0,1,5,female_Lvrc
68,female,1.108105008253525e-4,1.3484184519449799e-4,0,3.465653568335866e-5,5670,Lvrc,0,50,65,0,1,5,female_Lvrc
69,female,1.108105008253525e-4,1.3484184519449799e-4,0,3.465653568335866e-5,5670,Lvrc,0,50,65,0,1,5,female_Lvrc
70,female,1.691095601854169e-4,1.9707397242124116e-4,3.3120045944312944e-5,4.929780024768321e-5,5104,Lvrc,0,50,70,0,1,5,female_Lvrc
71,female,1.691095601854169e-4,1.9707397242124116e-4,3.3120045944312944e-5,4.929780024768321e-5,5104,Lvrc,0,50,70,0,1,5,female_Lvrc
72,female,1.691095601854169e-4,1.9707397242124116e-4,3.3120045944312944e-5,4.929780024768321e-5,5104,Lvrc,0,50,70,0,1,5,female_Lvrc
73,female,1.691095601854169e-4,1.9707397242124116e-4,3.3120045944312944e-5,4.929780024768321e-5,5104,Lvrc,0,50,70,0,1,5,female_Lvrc
74,female,1.691095601854169e-4,1.9707397242124116e-4,3.3120045944312944e-5,4.929780024768321e-5,5104,Lvrc,0,50,70,0,1,5,female_Lvrc
75,female,2.76849832644745e-4,3.234471051195638e-4,2.010056567370038e-4,8.113214280719208e-5,3792,Lvrc,0,50,75,0,1,5,female_Lvrc
76,female,2.76849832644745e-4,3.234471051195638e-4,2.010056567370038e-4,8.113214280719208e-5,3792,Lvrc,0,50,75,0,1,5,female_Lvrc
77,female,2.76849832644745e-4,3.234471051195638e-4,2.010056567370038e-4,8.113214280719208e-5,3792,Lvrc,0,50,75,0,1,5,female_Lvrc
78,female,2.76849832644745e-4,3.234471051195638e-4,2.010056567370038e-4,8.113214280719208e-5,3792,Lvrc,0,50,75,0,1,5,female_Lvrc
79,female,2.76849832644745e-4,3.234471051195638e-4,2.010056567370038e-4,8.113214280719208e-5,3792,Lvrc,0,50,75,0,1,5,female_Lvrc
80,female,3.8903042564464427e-4,4.491250593666045e-4,3.4300329348857853e-4,1.1192529299326326e-4,2983,Lvrc,0,20,80,0,1,5,female_Lvrc
81,female,3.8903042564464427e-4,4.491250593666045e-4,3.4300329348857853e-4,1.1192529299326326e-4,2983,Lvrc,0,20,80,0,1,5,female_Lvrc
82,female,3.8903042564464427e-4,4.491250593666045e-4,3.4300329348857853e-4,1.1192529299326326e-4,2983,Lvrc,0,20,80,0,1,5,female_Lvrc
83,female,3.8903042564464427e-4,4.491250593666045e-4,3.4300329348857853e-4,1.1192529299326326e-4,2983,Lvrc,0,20,80,0,1,5,female_Lvrc
84,female,3.8903042564464427e-4,4.491250593666045e-4,3.4300329348857853e-4,1.1192529299326326e-4,2983,Lvrc,0,20,80,0,1,5,female_Lvrc
85,female,5.298430605472587e-4,6.122289237168337e-4,4.3726476612897307e-4,1.493170507893615e-4,2001,Lvrc,0,20,85,0,1,5,female_Lvrc
86,female,5.298430605472587e-4,6.122289237168337e-4,4.3726476612897307e-4,1.493170507893615e-4,2001,Lvrc,0,20,85,0,1,5,female_Lvrc
87,female,5.298430605472587e-4,6.122289237168337e-4,4.3726476612897307e-4,1.493170507893615e-4,2001,Lvrc,0,20,85,0,1,5,female_Lvrc
88,female,5.298430605472587e-4,6.122289237168337e-4,4.3726476612897307e-4,1.493170507893615e-4,2001,Lvrc,0,20,85,0,1,5,female_Lvrc
89,female,5.298430605472587e-4,6.122289237168337e-4,4.3726476612897307e-4,1.493170507893615e-4,2001,Lvrc,0,20,85,0,1,5,female_Lvrc
90,female,5.912650068265271e-4,6.814819186077427e-4,3.777741871107085e-4,1.5814486966382797e-4,1019,Lvrc,0,10,90,0,1,5,female_Lvrc
91,female,5.912650068265271e-4,6.814819186077427e-4,3.777741871107085e-4,1.5814486966382797e-4,1019,Lvrc,0,10,90,0,1,5,female_Lvrc
92,female,5.912650068265271e-4,6.814819186077427e-4,3.777741871107085e-4,1.5814486966382797e-4,1019,Lvrc,0,10,90,0,1,5,female_Lvrc
93,female,5.912650068265271e-4,6.814819186077427e-4,3.777741871107085e-4,1.5814486966382797e-4,1019,Lvrc,0,10,90,0,1,5,female_Lvrc
94,female,5.912650068265271e-4,6.814819186077427e-4,3.777741871107085e-4,1.5814486966382797e-4,1019,Lvrc,0,10,90,0,1,5,female_Lvrc
95,female,7.089973928035041e-4,8.156203524895791e-4,1.3128463186649618e-4,1.545102123373619e-4,275,Lvrc,0,10,95,0,0,6,female_Lvrc
96,female,7.089973928035041e-4,8.156203524895791e-4,1.3128463186649618e-4,1.545102123373619e-4,275,Lvrc,0,10,95,0,0,6,female_Lvrc
97,female,7.089973928035041e-4,8.156203524895791e-4,1.3128463186649618e-4,1.545102123373619e-4,275,Lvrc,0,10,95,0,0,6,female_Lvrc
98,female,7.089973928035041e-4,8.156203524895791e-4,1.3128463186649618e-4,1.545102123373619e-4,275,Lvrc,0,10,95,0,0,6,female_Lvrc
99,female,7.089973928035041e-4,8.156203524895791e-4,1.3128463186649618e-4,1.545102123373619e-4,275,Lvrc,0,10,95,0,0,6,female_Lvrc
100,female,7.089973928035041e-4,8.156203524895791e-4,1.3128463186649618e-4,1.545102123373619e-4,275,Lvrc,0,10,95,0,0,6,female_Lvrc
